monthly,expiration,execution_date,last_trade_date,num_underlying
False,2010-06-11,2010-06-04,2010-06-11,4
True,2010-06-19,2010-06-11,2010-06-18,31
False,2010-06-25,2010-06-18,2010-06-25,4
False,2010-07-02,2010-06-25,2010-07-02,5
False,2010-07-09,2010-07-02,2010-07-09,6
True,2010-07-17,2010-07-09,2010-07-16,30
False,2010-07-23,2010-07-16,2010-07-23,6
False,2010-07-30,2010-07-23,2010-07-30,6
False,2010-08-06,2010-07-30,2010-08-06,7
False,2010-08-13,2010-08-06,2010-08-13,6
True,2010-08-21,2010-08-13,2010-08-20,29
False,2010-08-27,2010-08-20,2010-08-27,7
False,2010-09-03,2010-08-27,2010-09-03,7
False,2010-09-10,2010-09-03,2010-09-10,5
True,2010-09-18,2010-09-10,2010-09-17,20
False,2010-09-24,2010-09-17,2010-09-24,8
False,2010-10-01,2010-09-24,2010-10-01,7
False,2010-10-08,2010-10-01,2010-10-08,7
True,2010-10-16,2010-10-08,2010-10-15,20
False,2010-10-22,2010-10-15,2010-10-22,8
False,2010-10-29,2010-10-22,2010-10-29,7
False,2010-11-05,2010-10-29,2010-11-05,9
False,2010-11-12,2010-11-05,2010-11-12,8
True,2010-11-20,2010-11-12,2010-11-19,24
False,2010-11-26,2010-11-19,2010-11-26,7
False,2010-12-03,2010-11-26,2010-12-03,8
False,2010-12-10,2010-12-03,2010-12-10,8
True,2010-12-18,2010-12-10,2010-12-17,22
False,2010-12-23,2010-12-17,2010-12-23,7
False,2010-12-31,2010-12-23,2010-12-31,9
False,2011-01-07,2010-12-31,2011-01-07,8
False,2011-01-14,2011-01-07,2011-01-14,8
True,2011-01-22,2011-01-14,2011-01-21,23
False,2011-01-28,2011-01-21,2011-01-28,8
False,2011-02-04,2011-01-28,2011-02-04,8
False,2011-02-11,2011-02-04,2011-02-11,7
True,2011-02-19,2011-02-11,2011-02-18,24
False,2011-02-25,2011-02-18,2011-02-25,9
False,2011-03-04,2011-02-25,2011-03-04,10
False,2011-03-11,2011-03-04,2011-03-11,10
True,2011-03-19,2011-03-11,2011-03-18,28
False,2011-03-25,2011-03-18,2011-03-25,10
False,2011-04-01,2011-03-25,2011-04-01,10
False,2011-04-08,2011-04-01,2011-04-08,10
True,2011-04-16,2011-04-08,2011-04-15,26
False,2011-04-21,2011-04-15,2011-04-21,10
False,2011-04-29,2011-04-21,2011-04-29,10
False,2011-05-06,2011-04-29,2011-05-06,9
False,2011-05-13,2011-05-06,2011-05-13,10
True,2011-05-21,2011-05-13,2011-05-20,25
False,2011-05-27,2011-05-20,2011-05-27,10
False,2011-06-03,2011-05-27,2011-06-03,9
False,2011-06-10,2011-06-03,2011-06-10,10
True,2011-06-18,2011-06-10,2011-06-17,28
False,2011-06-24,2011-06-17,2011-06-24,10
False,2011-07-01,2011-06-24,2011-07-01,10
False,2011-07-08,2011-07-01,2011-07-08,10
True,2011-07-16,2011-07-08,2011-07-15,24
False,2011-07-22,2011-07-15,2011-07-22,13
False,2011-07-29,2011-07-22,2011-07-29,13
False,2011-08-05,2011-07-29,2011-08-05,13
False,2011-08-12,2011-08-05,2011-08-12,13
True,2011-08-20,2011-08-12,2011-08-19,33
False,2011-08-26,2011-08-19,2011-08-26,13
False,2011-09-02,2011-08-26,2011-09-02,13
False,2011-09-09,2011-09-02,2011-09-09,13
True,2011-09-17,2011-09-09,2011-09-16,34
False,2011-09-23,2011-09-16,2011-09-23,14
False,2011-09-30,2011-09-23,2011-09-30,12
False,2011-10-07,2011-09-30,2011-10-07,12
False,2011-10-14,2011-10-07,2011-10-14,13
True,2011-10-22,2011-10-14,2011-10-21,31
False,2011-10-28,2011-10-21,2011-10-28,12
False,2011-11-04,2011-10-28,2011-11-04,12
False,2011-11-11,2011-11-04,2011-11-11,12
True,2011-11-19,2011-11-11,2011-11-18,29
False,2011-11-25,2011-11-18,2011-11-25,12
False,2011-12-02,2011-11-25,2011-12-02,13
False,2011-12-09,2011-12-02,2011-12-09,13
True,2011-12-17,2011-12-09,2011-12-16,32
False,2011-12-23,2011-12-16,2011-12-23,13
False,2011-12-30,2011-12-23,2011-12-30,14
False,2012-01-06,2011-12-30,2012-01-06,14
False,2012-01-13,2012-01-06,2012-01-13,14
True,2012-01-21,2012-01-13,2012-01-20,24
False,2012-01-27,2012-01-20,2012-01-27,14
False,2012-02-03,2012-01-27,2012-02-03,14
False,2012-02-10,2012-02-03,2012-02-10,14
True,2012-02-18,2012-02-10,2012-02-17,26
