"underlying","monthly","expiration","execution_date","last_trade_date","num_otm"
"DIA",False,"2010-06-11","2010-06-04","2010-06-11","15"
"DIA",True,"2010-06-19","2010-06-11","2010-06-18","15"
"DIA",False,"2010-06-25","2010-06-18","2010-06-25","11"
"DIA",True,"2010-07-17","2010-07-09","2010-07-16","13"
"DIA",True,"2010-08-21","2010-08-13","2010-08-20","14"
"DIA",True,"2010-09-18","2010-09-10","2010-09-17","6"
"DIA",True,"2010-10-16","2010-10-08","2010-10-15","7"
"DIA",True,"2010-11-20","2010-11-12","2010-11-19","8"
"DIA",True,"2010-12-18","2010-12-10","2010-12-17","11"
"DIA",False,"2010-12-31","2010-12-23","2010-12-31","9"
"DIA",True,"2011-01-22","2011-01-14","2011-01-21","14"
"DIA",True,"2011-02-19","2011-02-11","2011-02-18","14"
"DIA",True,"2011-03-19","2011-03-11","2011-03-18","20"
"DIA",True,"2011-04-16","2011-04-08","2011-04-15","15"
"DIA",True,"2011-05-21","2011-05-13","2011-05-20","11"
"DIA",True,"2011-06-18","2011-06-10","2011-06-17","20"
"DIA",True,"2011-07-16","2011-07-08","2011-07-15","12"
"DIA",True,"2011-08-20","2011-08-12","2011-08-19","21"
"DIA",True,"2011-09-17","2011-09-09","2011-09-16","33"
"DIA",False,"2011-09-30","2011-09-23","2011-09-30","28"
"DIA",True,"2011-10-22","2011-10-14","2011-10-21","16"
"DIA",True,"2011-11-19","2011-11-11","2011-11-18","21"
"DIA",True,"2011-12-17","2011-12-09","2011-12-16","23"
"DIA",False,"2011-12-30","2011-12-23","2011-12-30","11"
"DIA",True,"2012-01-21","2012-01-13","2012-01-20","14"
"DIA",True,"2012-02-18","2012-02-10","2012-02-17","13"
"DIA",True,"2012-03-17","2012-03-09","2012-03-16","12"
"DIA",False,"2012-03-30","2012-03-23","2012-03-30","9"
"DIA",True,"2012-04-21","2012-04-13","2012-04-20","16"
"DIA",True,"2012-05-19","2012-05-11","2012-05-18","19"
"DIA",True,"2012-06-16","2012-06-08","2012-06-15","12"
"DIA",False,"2012-06-29","2012-06-22","2012-06-29","15"
"DIA",True,"2012-07-21","2012-07-13","2012-07-20","14"
"DIA",True,"2012-08-18","2012-08-10","2012-08-17","10"
"DIA",False,"2012-08-24","2012-08-17","2012-08-24","7"
"DIA",False,"2012-08-31","2012-08-24","2012-08-31","12"
"DIA",False,"2012-09-07","2012-08-31","2012-09-07","12"
"DIA",False,"2012-09-14","2012-09-07","2012-09-14","15"
"DIA",True,"2012-09-22","2012-09-14","2012-09-21","18"
"DIA",False,"2012-09-28","2012-09-21","2012-09-28","17"
